,batsman,runs,balls,stdv,numerator,denominator,batting_rating
0,AB de Villiers,129,77,1.7729069085422395,276922881,546.0553278310098,507133.3743779542
1,AD Russell,118,85,2.024223058755294,193877776,1032.3537599652,187801.6853510908
2,AM Rahane,8,9,1.3642254619787417,4096,12.278029157808675,333.6040293889508
3,AT Rayudu,64,43,2.0513885311830435,16777216,352.83882736348346,47549.2340946838
4,Abdul Samad,26,18,1.947010445067672,456976,105.13856403365429,4346.416599847459
5,Abhishek Sharma,7,11,0.8090398349558905,2401,17.798876369029593,134.89615581452034
6,Arshdeep Singh,2,3,0.5773502691896258,16,3.4641016151377553,4.618802153517005
7,B Kumar,3,4,0.5,81,4.0,20.25
8,BA Stokes,0,3,0.0,0,0.0,
9,C Sakariya,0,1,,0,,
10,CA Lynn,49,36,1.8693433190413271,5764801,67.29635948548777,85662.89534938602
11,CH Gayle,119,104,1.6861415091702636,200533921,1052.1523017222446,190594.00494752565
12,CH Morris,48,34,2.016862956520161,5308416,274.2933620867419,19353.06038620533
13,CJ Jordan,30,18,2.222875720904845,810000,40.01176297628721,20244.046743954845
14,CR Woakes,15,11,1.3618169680781094,50625,14.979986648859203,3379.509020046779
15,CV Varun,2,4,0.5773502691896257,16,4.618802153517006,3.464101615137755
16,D Padikkal,171,115,1.8655003439240576,855036081,858.1301582050666,996394.396379754
17,DA Miller,88,75,1.5278790575220325,59969536,458.36371725660973,130833.95073006343
18,DA Warner,136,125,1.4973955884759036,342102016,935.8722427974398,365543.5008708177
19,DJ Bravo,20,10,2.1081851067789197,160000,21.081851067789195,7589.466384404111
20,DJ Hooda,110,73,1.9516608857815954,146410000,712.3562233102823,205529.19341343065
21,DT Christian,3,8,0.5175491695067657,81,12.421180068162375,6.521119535785248
22,EJG Morgan,92,82,1.5744114628588075,71639296,645.5086997721111,110981.14715617524
23,F du Plessis,214,158,1.689517887615984,2097273616,1334.7191312166274,1571322.0609105127
24,FA Allen,6,11,0.5222329678670935,1296,5.744562646538029,225.6046421185844
25,GJ Maxwell,198,141,1.7236950484528257,1536953616,972.1640073273937,1580961.241535044
26,HH Pandya,36,39,1.3255508365366133,1679616,258.4824131246396,6497.989475168251
27,HV Patel,4,12,0.6513389472789296,256,15.632134734694311,16.376522103013087
28,Harbhajan Singh,4,4,0.816496580927726,256,6.531972647421808,39.191835884530846
29,Ishan Kishan,73,89,1.15366804104451,28398241,513.3822782648069,55315.974474194736
30,J Suchith,14,6,2.6583202716502514,38416,15.949921629901509,2408.538480087643
31,J Yadav,23,22,0.998917162649385,279841,21.97617757828647,12733.834125753356
32,JA Richardson,15,25,1.1180339887498947,50625,55.901699437494734,905.607530887415
33,JC Buttler,89,71,1.6879261143203004,62742241,599.2137705837066,104707.60867007692
34,JD Unadkat,35,27,1.7500508743113907,1500625,94.5027472128151,15879.168005779487
35,JJ Bumrah,4,6,0.5163977794943222,256,9.295160030897799,27.54121490636386
36,JM Bairstow,211,152,1.8912462764577764,1982119441,1437.3471701079102,1379012.3097756477
37,JO Holder,4,5,0.8366600265340756,256,4.183300132670378,61.19570479792095
38,K Rabada,9,4,1.2583057392117916,6561,5.033222956847166,1303.5385192055628
39,KA Jamieson,43,30,1.8323403789601473,3418801,219.88084547521768,15548.425751279578
40,KA Pollard,65,57,1.652255995506361,17850625,470.89295871931284,37908.03126160206
41,KD Karthik,109,80,1.6009787354591585,141158161,768.4697930203961,183687.32549029874
42,KH Pandya,29,27,1.356634011240998,707281,183.14559151753474,3861.8510778201476
43,KK Ahmed,1,2,0.7071067811865476,1,1.4142135623730951,0.7071067811865475
44,KL Nagarkoti,0,2,0.0,0,0.0,
45,KL Rahul,240,188,1.6701484472057324,3317760000,1883.9274484480661,1761086.9265337635
46,KM Jadhav,9,10,1.1972189997378646,6561,11.972189997378646,548.0200365544277
47,KS Williamson,82,74,1.2114473124706089,45212176,179.29420224565013,252167.52931059652
48,Lalit Yadav,54,57,1.1865474018521573,8503056,202.8996057167189,41907.70095370052
49,M Ashwin,15,24,0.875388112682647,50625,42.018629408767055,1204.8227348757182
50,M Jansen,0,4,0.0,0,0.0,
51,M Prasidh Krishna,0,1,,0,,
52,M Shahrukh Khan,103,79,1.7493913255007008,112550881,691.0095735727768,162878.9025571238
53,M Vohra,42,40,1.7679482531004762,3111696,282.8717204960762,11000.378526856535
54,MA Agarwal,161,129,1.7186068474564011,671898241,1330.2016999312546,505110.0453673484
55,MC Henriques,16,20,0.7677718959499146,65536,30.710875837996582,2133.9671439430763
56,MK Pandey,101,94,1.5466881837268183,104060401,436.1660678109628,238579.77197139614
57,MM Ali,133,91,1.916638795783982,312900721,697.6565216653695,448502.53854587005
58,MP Stoinis,43,30,1.7356968854500257,3418801,208.28362625400308,16414.16112004288
59,MS Dhoni,37,32,1.6086334613277278,1874161,205.90508304994916,9102.06281573612
60,Mohammad Nabi,14,13,1.4411533842457842,38416,18.734993995195193,2050.494385525409
61,Mohammed Shami,13,17,0.7524469885568253,28561,38.37479641639809,744.2645347245538
62,Mohammed Siraj,12,15,1.5675276256394517,20736,47.02582876918355,440.9491665054607
63,Mujeeb Ur Rahman,1,1,,1,,
64,Mustafizur Rahman,0,4,0.0,0,0.0,
65,N Pooran,28,30,1.3879613761229797,614656,166.55536513475755,3690.4004833629388
66,N Rana,186,156,1.7043223404621886,1196883216,1595.2457106726085,750281.4193403187
