,bowler,runs_given,balls_bowled,no_matches,std_bow,wickets,n1,n2,n,d,bowler_rating
0,A Mishra,72,58,3,1.3417760530008476,0,3364,0,10092,96.60787581606102,104.46353275808399
1,A Zampa,92,66,3,1.726524190645987,1,4356,1,13071,158.8402255394308,82.29023822907648
2,AD Russell,177,109,7,1.8195898542014188,2,11881,4,83195,322.06740419365116,258.3154920886589
3,AJ Finch,25,24,1,0.954584665735822,1,576,1,577,23.86461664339555,24.178054423500775
4,AJ Tye,50,25,1,1.9364916731037085,0,625,0,625,96.82458365518542,6.454972243679028
5,AR Patel,154,149,8,1.1175268748358629,0,22201,0,177608,172.09913872472288,1032.0098131582674
6,AS Rajpoot,205,113,6,1.961908111682402,0,12769,0,76614,402.1911628948924,190.49150520500646
7,Abdul Samad,96,42,3,2.189617566404694,0,1764,0,5292,210.20328637485062,25.175629226666324
8,Abhishek Sharma,92,60,6,1.5994349284655127,1,3600,1,21606,147.14801341882716,146.83174783000894
9,Ankit Sharma,71,45,2,1.7899833530065032,1,2025,1,4052,127.08881806346173,31.883214131212046
10,Anrich Nortje,528,368,16,1.781248668518033,15,135424,225,2170384,940.4992969775215,2307.6933783735444
11,Arshdeep Singh,209,143,7,1.664751517935346,1,20449,1,143150,347.9330672484873,411.42970724816144
12,Arshdeep Singh ,33,25,1,1.4059397805975429,0,625,0,625,46.396012759718914,13.47098517359289
13,Avesh Khan,42,25,1,1.7729448195962936,0,625,0,625,74.46368242304433,8.393353372577513
14,BA Stokes,159,94,6,1.7781626118213028,0,8836,0,53016,282.7278552795871,187.51601234187888
15,Basil Thampi,46,23,1,1.7056057308448835,0,529,0,529,78.45786361886465,6.742472654746179
16,CH Gayle,5,5,1,0.0,0,25,0,25,0.0,inf
17,CH Morris,211,194,9,1.4351442116310063,2,37636,4,338760,302.8154286541423,1118.7012547729576
18,CJ Green,24,17,1,1.583462327046801,0,289,0,289,38.00309584912322,7.604643609756535
19,CJ Jordan,333,223,9,1.6381431895661864,2,49729,4,447597,545.5016821255401,820.5235926238471
20,CV Varun,357,302,13,1.394082705722315,6,91204,36,1186120,497.6875259428665,2383.2624652444356
21,Cottrell,177,126,6,1.8381667886394704,1,15876,1,95262,325.35552158918625,292.7935555994148
22,DA Warner,2,2,1,0.0,0,4,0,4,0.0,inf
23,DJ Bravo,179,128,6,1.3709002947370885,0,16384,0,98304,245.39115275793884,400.60123967456155
24,DJ Hooda,10,6,1,2.160246899469287,0,36,0,36,21.60246899469287,1.6664761795905925
25,DL Chahar,402,314,14,1.4732303291111304,5,98596,25,1380694,592.2385923026744,2331.3137947186847
26,DS Kulkarni,22,20,1,1.1652874052533586,0,400,0,400,25.63632291557389,15.60286166301185
27,DW Steyn,134,74,3,1.9350811506517116,0,5476,0,16428,259.3008741873293,63.3549734511568
28,Deshpande,193,107,5,1.7932749230790892,0,11449,0,57245,346.1020601542642,165.39918882448958
