,bowler,runs_given,balls_bowled,no_matches,std_bow,wickets,n1,n2,n,d,bowler_rating
0,A Mishra,82,66,3,1.4364551031630826,5,4356,25,13143,117.78931845937277,111.58057599707745
1,AD Russell,114,66,5,1.901784219301237,7,4356,49,22025,216.80340100034104,101.58973474758984
2,AF Milne,35,19,1,2.034785216476909,0,361,0,361,71.21748257669182,5.068980072572078
3,AR Patel,27,24,1,1.541103500742244,2,576,4,580,41.60979452004059,13.939025815680338
4,Abhishek Sharma,43,38,3,1.3788176021814302,2,1444,4,4344,59.2891568938015,73.26803462192852
5,Arshdeep Singh,152,114,6,1.5149208727644699,7,12996,49,78270,230.2679726601994,339.90832114330135
6,Avesh Khan,143,112,5,1.6560553447935562,12,12544,144,63440,236.81591430547854,267.88740184988643
7,B Kumar,137,92,4,1.7446594504901014,3,8464,9,33892,239.0183447171439,141.7966476176046
8,BA Stokes,12,6,1,2.449489742783178,0,36,0,36,29.393876913398135,1.2247448713915892
9,C Sakariya,172,130,5,1.4900985067868648,7,16900,49,84745,256.29694316734077,330.65162210954855
10,CH Morris,163,113,5,1.8123487774222768,10,12769,100,64345,295.4128507198311,217.81381494816776
11,CJ Jordan,28,18,1,1.688097509806344,0,324,0,324,47.26673027457763,6.8547157401802155
12,CR Woakes,85,67,3,1.7107688290448477,5,4489,25,13542,145.41535046881205,93.1263443394473
13,CV Varun,187,146,6,1.5074214141348001,7,21316,49,128190,281.88780444320764,454.75539551348925
14,DJ Bravo,86,72,4,1.5164718958670536,4,5184,16,20800,130.4165830445666,159.48892015436502
15,DJ Hooda,75,66,4,1.5077886368541757,2,4356,4,17440,113.08414776406318,154.221439033051
16,DL Chahar,137,106,5,1.729117480004924,9,11236,81,56585,236.8890947606746,238.8670531970539
17,DT Christian,41,32,3,1.2243332616097102,0,1024,0,3072,50.19766372599812,61.198067240108735
18,FA Allen,52,43,2,1.5668916687700938,1,1849,1,3700,81.47836677604488,45.41082678019292
19,GJ Maxwell,24,12,1,2.449489742783178,0,144,0,144,58.78775382679627,2.4494897427831783
