Player_Name,Base_Price,Price_Paid,Status,Current_Team,Previous_Teams
Chris Morris,7500000,162500000,Sold,Rajasthan Royals,"( Prev Teams: CSK,DC,RR )"
Kyle Jamieson,7500000,150000000,Sold,Royal Challengers Bangalore,
Glenn Maxwell,20000000,142500000,Sold,Royal Challengers Bangalore,"( Prev Teams: KXIP,DC,MI )"
Jhye Richardson,15000000,140000000,Sold,Punjab Kings,
Krishnappa Gowtham,2000000,92500000,Sold,Chennai Super Kings,"( Prev Teams: KXIP,RR,MI )"
Riley Meredith,4000000,80000000,Sold,Punjab Kings,
Moeen Ali,20000000,70000000,Sold,Chennai Super Kings,( Prev Teams: RCB )
Shahrukh Khan,2000000,52500000,Sold,Punjab Kings,
Tom Curran,15000000,52500000,Sold,Delhi Capitals,"( Prev Teams: KKR,RR )"
Nathan Coulter-Nile,15000000,50000000,Sold,Mumbai Indians,"( Prev Teams: RCB,KKR,DC,MI )"
Daniel Christian,48000000,48000000,Sold,Royal Challengers Bangalore,"( Prev Teams: RCB,DC,DCH,RPS )"
Shivam Dube,5000000,44000000,Sold,Rajasthan Royals,( Prev Teams: RCB )
Moises Henriques,10000000,42000000,Sold,Punjab Kings,"( Prev Teams: RCB,KKR,KXIP,DC,SRH )"
Adam Milne,5000000,32000000,Sold,Mumbai Indians,"( Prev Teams: RCB,MI )"
Shakib Al Hasan,20000000,32000000,Sold,Kolkata Knight Riders,"( Prev Teams: KKR,SRH )"
Robin Uthappa,0,30000000,Transfer,Chennai Super Kings,( Prev Teams: RR )
Piyush Chawla,5000000,24000000,Sold,Mumbai Indians,"( Prev Teams: KKR,KXIP,CSK )"
Steven Smith,20000000,22000000,Sold,Delhi Capitals,"( Prev Teams: RR,PWI,RPS )"
Harbhajan Singh,20000000,20000000,Sold,Kolkata Knight Riders,"( Prev Teams: CSK,MI )"
Kedar Jadhav,20000000,20000000,Sold,Sunrisers Hyderabad,"( Prev Teams: RCB,CSK,DC,KTK )"
Sam Billings,20000000,20000000,Sold,Delhi Capitals,"( Prev Teams: CSK,DC )"
Dawid Malan,15000000,15000000,Sold,Punjab Kings,
Mujeeb Ur Rahman,15000000,15000000,Sold,Sunrisers Hyderabad,( Prev Teams: KXIP )
Chetan Sakariya,2000000,12000000,Sold,Rajasthan Royals,
